dict_values([0.76775189423854096]),dict_values([0.69970923990504641]),dict_values([0.72208287673692662]),1,12
dict_values([0.84306129880696856]),dict_values([0.75701244202311702]),dict_values([0.80861946998966094]),1,1
dict_values([0.84064913321356083]),dict_values([0.7475152764485018]),dict_values([0.80861946998966094]),1,1
dict_values([0.84145532212705854]),dict_values([0.74968710888610768]),dict_values([0.81528541111171582]),1,1
dict_values([0.92258382398380778]),dict_values([0.77523801872012199]),dict_values([0.78880513679508657]),5,1
dict_values([0.91484367691622981]),dict_values([0.73361989314265053]),dict_values([0.7965940815187047]),5,1
dict_values([0.92347730629346048]),dict_values([0.78797252239585425]),dict_values([0.79436069235064211]),5,1
dict_values([0.96775072693798569]),dict_values([0.82389200998751555]),dict_values([0.77463409606266742]),10,1
dict_values([0.97064016765262862]),dict_values([0.78347378277153557]),dict_values([0.79138321995464844]),10,1
dict_values([0.87228605792387504]),dict_values([0.78924731182795693]),dict_values([0.75937894073139978]),2,1
dict_values([0.88279758093306049]),dict_values([0.77444168734491314]),dict_values([0.76447562000840685]),2,1
dict_values([0.87470834773591422]),dict_values([0.77373862696443341]),dict_values([0.78980138713745274]),2,1
dict_values([0.88668817558619462]),dict_values([0.79863970588235289]),dict_values([0.79746405524736774]),3,1
dict_values([0.88656130493933494]),dict_values([0.77915441176470579]),dict_values([0.79534133363523152]),3,1
